Store Name,Address,Region,Product,Draw Date,Value
AVONDALE FIRST,456 FIRST AVE L3C-6A7 WELLAND,WELLAND,Encore - Ontario 49,29-Mar-2023,100000.0
AVONDALE LINWELL/LYN,282 LINWELL RD L2N-6N5 ST CATHARINES,CATHARINES,Encore - Lotto Max,18-Jul-2023,100000.0
BAYRIDGES MARKET,713 KROSNO BLVD L1W-1G4 PICKERING,PICKERING,CROSSTRIPLER,31-3301,100000.0
BEAUTY BARGAIN & VARIETY STORE,2763 DANFORTH AVE M4C-1L8 TORONTO,TORONTO,Encore - Lottario,18-Mar-2023,100000.0
BEST CONVENIENCE,1410 QUEEN ST W M6K-1L9 TORONTO,TORONTO,CROSSTRIPLER,31-3301,100000.0
BOB'S TICKETS N' THINGS,3495 LAWRENCE AVE E M1H-1B3 SCARBOROUGH,SCARBOROUGH,Encore - 649,19-Jul-2023,100000.0
BYRON MINI MART,1290 BASE LINE ROAD BYRO N6K-2E3 LONDON,LONDON,SUIT UP,31-2356,100000.0
CANADIAN TIRE GAS BAR #1033,2207 RIVERSIDE DR P4R-0A1 TIMMINS,TIMMINS,Encore - Ontario 49,03-Jun-2023,100000.0
CIRCLE K #1437,915 RED RIVER RD P7B-1K5 THUNDER BAY,BAY,Encore - Lottario,01-Apr-2023,100000.0
CIRCLE K #65049 - ALLISTON,33 YOUNG ST L9R-1B5 ALLISTON,ALLISTON,Encore - Lotto Max,30-May-2023,100000.0
CIRCLE K #65049 - ALLISTON,33 YOUNG ST L9R-1B5 ALLISTON,ALLISTON,Encore - Ontario 49,29-Jul-2023,100000.0
CIRCLE K #65061 - SAUBLE BEACH,329 MAIN ST N0H-2G0 SAUBLE BEACH,BEACH,Encore - 649,01-Mar-2023,100000.0
CIRCLE K #66 - PARRY SOUND,95 CHURCH ST P2A-1Z4 PARRY SOUND,SOUND,Poker Lotto,20-Mar-2023,100000.0
CNIB WM - ST. THOMAS,1063 TALBOT ST N5P-1G4 ST THOMAS,THOMAS,Encore - Lotto Max,30-Jun-2023,100000.0
CNIB WM KANATA,5357 FERNBANK RD K2S-1B6 STITTSVILLE,STITTSVILLE,SUIT UP,31-2356,100000.0
CONVENIENCE K,75 HANNA AVE M6K-3N7 TORONTO,TORONTO,Encore - Lotto Max,09-Jun-2023,100000.0
CORNER STORE #10,3689 SANDWICH ST N9C-1B8 WINDSOR,WINDSOR,Encore - 649,05-Apr-2023,100000.0
CRANSTON CONVENIENCE STORE,20 CRANSTON PARK AVE L6A-2W2 MAPLE,MAPLE,Encore - Lotto Max,14-Jul-2023,100000.0
DAISY BELLEVILLE,157 BRIDGE ST W K8P-1J8 BELLEVILLE,BELLEVILLE,Encore - Lotto Max,11-Jul-2023,100000.0
DAISY MART # 82070,500 GLEN FORREST BLVD N2L-5G4 WATERLOO,WATERLOO,Encore - 649,10-May-2023,100000.0
DELICIOUS GREEK CONVENIENCE,800 KING ST W L1J-2L5 OSHAWA,OSHAWA,Encore - Ontario 49,04-Mar-2023,100000.0
ERIN EXPRESS VARIETY & VIDEO,9 MAIN ST N0B-1T0 ERIN,ERIN,CROSSTRIPLER,31-3301,100000.0
ESSO,2934 HIGHWAY 35 K9V-4R4 LINDSAY,LINDSAY,Encore - Lotto Max,03-Mar-2023,100000.0
ESSO/CIRCLE K #52276,800 LAWRENCE AVE E M3C-1P4 NORTH YORK,YORK,Encore - 649,22-Jul-2023,100000.0
ESSO/CIRCLE K# 52268,6788 REGIONAL ROAD 25 L9T-9G7 MILTON,MILTON,Poker Lotto,09-Mar-2023,100000.0
FILL STORE CONVENIENCE,218 VICTORIA RD S N1E-5R1 GUELPH,GUELPH,Encore - Pick 2,02-Aug-2023,100000.0
FISHER'S  YIG,30B BEAVER AVE L0K-1A0 BEAVERTON,BEAVERTON,Encore - Lotto Max,05-May-2023,100000.0
FOOD BASICS #629 - YORK MILLS,1277 YORK MILLS RD M3A-1Z5 NORTH YORK,YORK,Poker Lotto,14-May-2023,100000.0
FOOD BASICS #643 - NEW LISKEARD,11B HWY P0J-1P0 NEW LISKEARD,LISKEARD,Encore - Pick 3,19-Jun-2023,100000.0
FOOD BASICS #848 - TECUMSEH,1655 MANNING RD N8N-2L9 TECUMSEH,TECUMSEH,Encore - Lotto Max,21-Jul-2023,100000.0
FOOD BASICS #860 - GOYEAU ST,880 GOYEAU ST N9A-1H8 WINDSOR,WINDSOR,Encore - 649,21-Jun-2023,100000.0
FOREST GLEN DELI & APPETIZER,3409 FIELDGATE DR L4X-2J4 MISSISSAUGA,MISSISSAUGA,Encore - Lotto Max,16-May-2023,100000.0
GATEWAY NEWSTANDS,9350 YONGE ST L4C-5G2 RICHMOND HILL,HILL,Poker Lotto,28-May-2023,100000.0
GATEWAY NEWSTANDS #302,1530 ALBION RD M9V-1B4 ETOBICOKE,ETOBICOKE,CROSSTRIPLER,31-3301,100000.0
GEORGE'S CONVENIENCE,12612 HIGHWAY 50 L7E-1T6 BOLTON,BOLTON,100KMONYMTCH,31-2358,100000.0
GEORGE'S CONVENIENCE,9445 MISSISSAUGA RD L6X-0Z8 BRAMPTON,BRAMPTON,100KMONYMTCH,31-2358,100000.0
GEORGES CONVENIENCE,3651 MAJOR MACKENZIE DR L4H-0A2 WOODBRIDGE,WOODBRIDGE,Encore - Ontario 49,02-Aug-2023,100000.0
GIANT TIGER #216 FERGUS,900 TOWER ST S N1M-3N7 FERGUS,FERGUS,Encore - Lotto Max,07-Apr-2023,100000.0
GOCO GAS STATION CONVENIENCE,7326 ARKONA RD N0M-1B0 ARKONA,ARKONA,Encore - 649,03-Jun-2023,100000.0
GOOD LUCK VARIETY,241 DUNSDON ST N3R-7C3 BRANTFORD,BRANTFORD,Encore - Lotto Max,09-May-2023,100000.0
GOODIES CONVENIENCE,107 KENNEDY RD S L6W-3G3 BRAMPTON,BRAMPTON,Encore - Lotto Max,31-Mar-2023,100000.0
GORE GIFT & VARIETY,2031 LAKESHORE RD L7R-1A2 BURLINGTON,BURLINGTON,SUIT UP,31-2356,100000.0
GRAND MINI MART & VIDEO,895 GRAND AVE W N7L-1C8 CHATHAM,CHATHAM,Encore - Lotto Max,28-Apr-2023,100000.0
GREEN SPOT CONVENIENCE,20 LEE CENTRE DR M1H-3H9 SCARBOROUGH,SCARBOROUGH,100KMONYMTCH,31-2358,100000.0
INS MARKET #5140,2960 KINGSWAY DR N2C-1X1 KITCHENER,KITCHENER,Encore - 649,12-Apr-2023,100000.0
JASPREET KITCHEN FOOD FAIR,6986 FINANCIAL DR L5N-8J4 MISSISSAUGA,MISSISSAUGA,Encore - 649,17-Jun-2023,100000.0
JOE'S VARIETY,592 NOTRE DAME ST N0R-1A0 BELLE RIVER,RIVER,Encore - 649,24-Jun-2023,100000.0
JUG CITY,3750 LAWRENCE AVE E M1G-1R1 SCARBOROUGH,SCARBOROUGH,Encore - Lotto Max,11-Jul-2023,100000.0
KEN'S VARIETY,10 VANIER DR N7L-4P6 CHATHAM,CHATHAM,Encore - Lotto Max,14-Jul-2023,100000.0
KEVIN'S VARIETY,922 WYANDOTTE ST W N9A-5Y2 WINDSOR,WINDSOR,Encore - Lottario,29-Jul-2023,100000.0
KIRK'S GAS & CONVENIENCE,2440 518 HWY W P0A-1Y0 SPRUCEDALE,SPRUCEDALE,Encore - Lotto Max,02-Jun-2023,100000.0
KITCHEN FOOD FAIR CONVENIENCE,751 DON MILLS RD M3C-1S3 NORTH YORK,YORK,Encore - Lotto Max,31-Mar-2023,100000.0
LITTLE SHORT STOP STORE #1170,2399 KINGSWAY DR N2C-1A5 KITCHENER,KITCHENER,Encore - Lotto Max,18-Jul-2023,100000.0
LOBLAWS #1179 - BROADVIEW,720 BROADVIEW AVE M4K-2P1 TORONTO,TORONTO,Encore - Lotto Max,31-Mar-2023,100000.0
M & D VARIETY,2700 KIPLING AVE M9V-4P2 ETOBICOKE,ETOBICOKE,Encore - 649,05-Apr-2023,100000.0
MAC'S 1385,2055 SANDWICH WEST PKY N9H-2S4 LASALLE,LASALLE,Encore - Lottario,05-Aug-2023,100000.0
